#chainfmt afss
#             p0             p1             p2             p3             p4             p5             p6             p7
        1.18054     4.3714e-11      0.0250135      0.0701406        0.11783        7.62395        8.40602        1.62731
        1.18618    4.36479e-11      0.0260404      0.0685081       0.110536        7.87209         8.8873        1.19394
        1.18315    4.37135e-11      0.0033236      0.0739525        0.13678        7.02211        4.32984        2.21327
        1.16749    4.31214e-11      0.0241582      0.0690441       0.123558        4.59518        1.95829        4.59547
        1.18847    4.39925e-11      0.0284345      0.0791183       0.113289        4.18561       0.965862        3.91079
        1.19356    4.39542e-11     0.00437889      0.0727496       0.100823        8.10691        8.08749        1.09231
        1.17879    4.36918e-11      0.0219489       0.086743       0.112839        7.06851        4.68727        3.09543
         1.1777    4.33924e-11       0.047583      0.0685323      0.0991463        4.62622        1.99348        7.31662
        1.19366    4.39259e-11      0.0224498      0.0730012       0.127944        6.60498         5.5481        3.29728
        1.19572    4.37722e-11      0.0238295      0.0683243       0.123685        4.23234        1.69963        5.08185
