#chainfmt afss
#             p0             p1             p2             p3             p4             p5             p6             p7
        1.18543    4.35748e-11      0.0635976      0.0692618      0.0944975        6.40379        3.20097        2.57248
        1.17746    4.35575e-11      0.0618396       0.069475       0.102939        6.16312        3.48306        3.34046
        1.19065    4.38012e-11      0.0375658      0.0715454       0.112827        6.60245        3.82029        2.35369
        1.17857    4.36242e-11      0.0191446      0.0796519       0.122812        6.05108        3.92336        2.11594
        1.20759    4.42265e-11      0.0435908      0.0731867       0.122596        6.34679        4.68793        2.67203
        1.17274    4.35856e-11      0.0279755        0.08461       0.110805        5.73473        2.38911        4.49745
        1.17738    4.41152e-11      0.0359144      0.0797871       0.112582        6.49504        4.39452        3.80261
        1.16228    4.29332e-11      0.0275802      0.0779468       0.128539        6.13482        4.03969        3.93808
        1.18609    4.38858e-11      0.0277087      0.0713427       0.139095        5.83233        3.78039        4.22391
        1.19273    4.37438e-11      0.0032986       0.073565       0.139051         6.0305        3.32868        3.22729
        1.17913    4.34952e-11     0.00920878      0.0733208       0.132228        6.12783        2.77503        2.60683
        1.19787    4.38447e-11     0.00927289       0.070131       0.133368        5.77945         2.9231        1.99357
        1.17931     4.3819e-11      0.0270375       0.070489        0.12515        5.33697        2.15896        4.70354
        1.19589    4.40453e-11      0.0167237      0.0750657       0.119512        5.03452        1.62804        4.67955
        1.17908    4.41668e-11      0.0223566      0.0820173       0.104927        5.43103        2.10095        5.58811
        1.19528    4.37776e-11     0.00357844      0.0843277       0.128314        5.93139        3.54748        3.08944
         1.1992    4.41295e-11      0.0121507      0.0714525       0.140435        5.87453         3.8627        3.67796
        1.17697    4.37195e-11      0.0207625      0.0762383       0.131125        6.08754        3.44712        3.25974
        1.21502    4.42173e-11      0.0110098      0.0773721        0.12808        5.78606        2.29915        2.97351
        1.21461    4.42473e-11     0.00138818       0.074388       0.125204        5.55578        1.39204        2.06496
        1.20147    4.41578e-11     0.00794189       0.068052        0.12121        6.28756        2.92909         1.4764
        1.19634    4.38179e-11      0.0092599       0.072494       0.126508        6.63698        4.39338        1.79588
        1.19779    4.38872e-11      0.0131223      0.0713217       0.129915        6.55957        3.56806        1.75668
        1.20466    4.40571e-11      0.0141804      0.0728981       0.126349        5.68771        2.70127        3.22203
        1.16997    4.35739e-11      0.0289546      0.0742989       0.125103        6.08221        3.96108        4.47879
        1.18449    4.38555e-11      0.0378828      0.0750465       0.129407        6.79628         6.7042        5.02469
        1.18193    4.39013e-11      0.0217525      0.0812549       0.148553        6.89394        7.60353        5.06252
        1.19028    4.40869e-11      0.0485145      0.0850102       0.113626        6.85042        7.45298        4.31037
        1.17472    4.35198e-11      0.0407782      0.0726475       0.124469        6.47288        7.42318        4.40369
        1.15707    4.32944e-11      0.0407805      0.0826928        0.11428        5.08128        1.91247        5.72531
        1.15729    4.35176e-11      0.0191462      0.0848317        0.11239        5.45409        2.28552        5.13542
        1.18308    4.36818e-11      0.0355332      0.0814124       0.115175        5.22655        2.89541        7.57567
        1.19187    4.36661e-11      0.0344746      0.0829551       0.121102        5.08444        2.95698        9.10008
        1.17708    4.39052e-11      0.0446603      0.0813298       0.130981        6.37618         5.5536        6.97288
         1.1864    4.35693e-11      0.0534149      0.0778103       0.116339        5.95888        3.89723        5.89742
        1.19563    4.39606e-11       0.068202      0.0666111      0.0991815        4.77561         2.7967        8.57421
        1.18372    4.39116e-11      0.0619989      0.0617993      0.0881803        3.76376        0.66168        9.59742
        1.19418    4.38759e-11      0.0519265      0.0571602      0.0889774        3.66008        1.24174        9.85219
        1.18424    4.39359e-11      0.0394187      0.0775235        0.10253        4.29264        1.72346        9.35321
        1.17834    4.34245e-11      0.0379767      0.0816047       0.106713        4.37605        1.39641        8.70448
        1.17532    4.33944e-11      0.0233522      0.0670198       0.117798        3.88816        1.00916        7.84669
        1.19369    4.37845e-11     0.00108579      0.0781357        0.10697        4.11081        1.04666        7.77393
        1.19662     4.4296e-11     0.00154816      0.0796673       0.105431        4.53405       0.890949        8.01257
        1.19133    4.38282e-11      0.0137025      0.0728351       0.101871        4.37356       0.691761         8.5487
        1.17561    4.35947e-11       0.038227      0.0710684      0.0869872        3.67432       0.565772        9.01095
        1.18538     4.3697e-11      0.0218102      0.0791028       0.101631        3.58545       0.847748        9.94064
         1.1994    4.41937e-11      0.0237569      0.0722938       0.110161        3.77078         0.8524        9.77428
        1.19308     4.3988e-11      0.0184167       0.066789       0.110659        3.61938       0.996754        8.98921
        1.19722    4.41521e-11     0.00935086      0.0673097       0.119575        3.68677        1.32158          7.868
        1.19392    4.39923e-11      0.0147379      0.0665015       0.127913        3.67346         1.2173        7.83335
        1.18466    4.40151e-11      0.0133364      0.0756103       0.122645        4.05745        1.57897        7.73578
        1.19441    4.40976e-11      0.0138136      0.0769705       0.107422        4.43187       0.625225        3.50463
        1.20468    4.39334e-11     0.00404574      0.0678594       0.110233        4.11898        1.14721        2.97992
        1.18019    4.37756e-11      0.0321614      0.0752121       0.109084        4.39923        1.34857        2.18444
        1.18397    4.38873e-11      0.0427672      0.0729196       0.106334        4.14854        1.19386        4.86504
         1.1944    4.36395e-11      0.0493091      0.0737515       0.115713        5.24889        3.94024        3.41163
        1.19644    4.39085e-11      0.0462098      0.0681513        0.12371        5.15884        3.83954          2.517
        1.19727    4.40297e-11       0.029513       0.071668       0.118857        4.55067        1.41162        1.73479
        1.18821    4.36608e-11      0.0181654      0.0746357        0.12653        4.42905        1.73218        2.76728
        1.18807    4.35412e-11      0.0311026      0.0659602       0.127514        4.36309        1.76204        3.02468
        1.17953      4.363e-11      0.0271012      0.0737422       0.128259        4.35068        2.08212        3.68407
        1.17888    4.36912e-11      0.0241788      0.0721804       0.139643        4.40863        2.11852         4.5604
        1.17809     4.3444e-11      0.0331987      0.0659576       0.140604        4.64882        2.83295        5.00007
        1.17598    4.35377e-11      0.0210336      0.0766694       0.145223        5.47317        3.45157        3.57214
        1.17113    4.35622e-11      0.0109968      0.0774415       0.141594        5.13455        3.08473        5.25015
        1.20491    4.39849e-11     0.00542925      0.0732949       0.137286        5.24368        2.74885        5.16809
        1.18759    4.40354e-11      0.0331196       0.072277       0.138094        6.46732        4.74402        3.45181
         1.2032    4.41908e-11      0.0244437      0.0706997       0.135456        5.67898        3.01619        4.81551
        1.20278    4.43061e-11     0.00346351      0.0871552       0.123607        5.51797        2.32819        4.09478
        1.18026    4.38553e-11      0.0397252      0.0728666       0.111429        5.45431        2.99498        5.29561
        1.19372    4.36587e-11      0.0441486      0.0735025       0.115629         5.5522        2.90459        4.69176
        1.19673    4.37642e-11      0.0391324      0.0739848        0.12448        6.43423        4.03286        2.28905
        1.17695    4.36869e-11      0.0182832      0.0823106       0.118288        6.12978        3.58507        3.72249
         1.1812    4.36237e-11      0.0158278      0.0731219       0.128335        5.87509        2.99819        3.70503
        1.19097    4.35598e-11     0.00364502      0.0797515        0.12228        5.39229        2.29965        4.58839
        1.18461    4.37278e-11      0.0284336      0.0743984       0.122974        5.71637        2.74414        4.19534
        1.18848    4.38736e-11    0.000501292       0.079527       0.133127        5.85781        3.43388        3.46035
        1.18497    4.35295e-11      0.0193918      0.0777044       0.124199        5.82019        2.36193        3.13055
        1.19169    4.44639e-11      0.0127663      0.0750281       0.128475        5.85541        3.06572        3.21282
         1.1926    4.36836e-11      0.0189192      0.0788548       0.126137        6.23122        3.47719          3.211
        1.19662    4.39259e-11      0.0223101      0.0756366       0.127384        5.90144        3.94755        4.38246
        1.19022    4.36799e-11      0.0352858      0.0746845       0.130149        5.79564        4.12862         4.1494
        1.18336    4.37025e-11      0.0373742      0.0775422       0.125253        6.01113        4.15964        3.62627
        1.19667    4.40605e-11      0.0186392      0.0762534        0.12451         5.4742        1.89879        3.40803
        1.19407    4.41334e-11      0.0248916      0.0793746       0.106865        5.26775        1.54825        3.64637
        1.18103    4.38068e-11      0.0266608      0.0839252       0.128663        6.44397        4.75105        3.05543
         1.1754     4.3552e-11      0.0150076      0.0743099       0.133462        6.40933        4.20348        2.99747
         1.1747    4.35423e-11      0.0135492      0.0811082       0.127223        6.84101        4.37928        2.83706
        1.19699    4.40208e-11     0.00911159       0.082394       0.125942        7.17878        5.38733        3.03251
        1.19705    4.42866e-11      0.0113057      0.0709841       0.133156        6.76579        5.09526         2.1732
        1.19763    4.38545e-11      0.0107015      0.0710732         0.1397        6.81165        5.63437        2.26861
        1.17359    4.37116e-11       0.010152      0.0745492       0.136757        6.81396        6.44229        3.25357
        1.17029    4.35366e-11     0.00265262      0.0746944       0.132931        6.56217        4.95325         3.3695
        1.17309    4.34809e-11      0.0031238      0.0756674       0.139028        7.11198        6.02159        2.39924
        1.18078    4.35584e-11      0.0070531      0.0752624       0.128796        7.05994        5.45873        2.14018
        1.18716    4.37405e-11      0.0140303       0.077622       0.119153         6.6004        4.32558         2.6499
        1.18068    4.36559e-11      0.0014417      0.0792116       0.127203        6.55936          4.367        2.49511
        1.18675    4.37729e-11      0.0156157      0.0747926       0.136074        6.81878        4.83032        3.42075
        1.20517     4.4445e-11       0.017958      0.0807873       0.133046        7.02742        7.51601        4.04724
        1.19404    4.40476e-11     0.00766852      0.0843909       0.137294        6.54331        6.14668        3.56331
        1.18673    4.38785e-11      0.0214621      0.0746083        0.12375        5.33714        2.23908        3.92509
        1.18624    4.37756e-11      0.0181398      0.0759158       0.116208        4.99687        1.82365        5.04248
        1.18348    4.37785e-11      0.0131086      0.0769623       0.130654        5.89742        3.63887        3.01197
        1.17061    4.36375e-11      0.0200181      0.0797222        0.13466        6.24341        4.53526        3.99565
        1.19485     4.3959e-11     0.00956484      0.0714394       0.140817        6.17646        3.32464        2.67032
         1.1942    4.40091e-11     0.00820683      0.0753659       0.124762        6.32571        2.91015        2.64491
        1.19057    4.40514e-11      0.0191839      0.0763827       0.117844        5.77654        1.93601        4.28642
        1.17534    4.36137e-11       0.013252      0.0749497        0.11879        5.30436        1.68869        4.24502
        1.18828    4.38892e-11     0.00487516      0.0733191       0.124115         5.2788        2.44155        4.21716
        1.18655     4.3483e-11     0.00450975      0.0823695       0.126298        5.56588        2.59813         4.3018
        1.19117    4.36749e-11    0.000914221      0.0776538       0.124948        5.51403        2.11296        4.23915
        1.19354    4.39066e-11     0.00333423      0.0741048       0.118121        5.14445         1.5936        4.51425
        1.19011     4.3929e-11     0.00340215      0.0666554       0.121923        4.30647        1.26221        5.31177
        1.20165     4.4075e-11        0.02034       0.076428       0.120105        5.13288        2.40288        4.40842
        1.19412    4.40687e-11      0.0154272       0.076471       0.127411        5.05594        2.30232        5.39979
        1.17606    4.37553e-11       0.023017      0.0838088       0.136592        6.04557        4.10438        4.70903
         1.1808    4.35091e-11      0.0109956      0.0729485       0.138897        5.45034        3.04278        4.11954
        1.18302    4.37203e-11      0.0065038      0.0795428        0.13067        5.17105        2.72283         5.1777
        1.18335     4.3739e-11       0.008247      0.0787058       0.130833        5.25954        2.42377        5.86264
        1.17136    4.38508e-11      0.0195779      0.0876976       0.120439        6.00612        3.09209        5.28982
        1.16747     4.3219e-11      0.0197885      0.0858373       0.117814        6.23579        3.75949        2.95762
        1.16534    4.29792e-11      0.0255708      0.0749285       0.131712        5.69763        2.68729        4.04333
        1.17161    4.37382e-11      0.0114796      0.0837452       0.122602        6.34383         3.0439        3.06286
        1.17828    4.35217e-11     0.00357076      0.0771662       0.124558        6.54353        3.06324        1.75618
        1.16739    4.34268e-11       0.010523      0.0768743        0.12569        6.93626        3.90609         2.3676
        1.18597    4.37959e-11     0.00942234      0.0746638       0.120461        6.80718        3.20653        1.98192
        1.19124    4.40073e-11     0.00157477      0.0767453       0.118609        6.74078        2.70648        1.60841
        1.18571    4.36038e-11      0.0109538      0.0745677       0.121471        7.05277         4.5586        2.19897
         1.2019    4.42915e-11      0.0165236      0.0820414       0.122435        7.26487        5.53916        2.74142
        1.18272    4.34991e-11      0.0271987      0.0806641       0.110816        7.21111        5.27448        1.64064
        1.18882    4.38693e-11      0.0157854      0.0794172       0.113713        7.00953        5.08285        2.07328
        1.19501    4.37092e-11      0.0201986      0.0720906       0.128085        6.98048        5.97642        2.32013
        1.19039    4.42522e-11      0.0245796       0.080547       0.124612        7.04417        6.51406        2.63377
        1.17265     4.3948e-11      0.0307737       0.076658       0.123305        6.91767        6.40923        2.49057
        1.18867    4.34688e-11      0.0161514      0.0775366       0.124818        6.63772        4.86329        2.87784
        1.18202    4.34921e-11      0.0275121      0.0750288         0.1116        4.75088         1.6715        5.76591
        1.18086    4.38879e-11      0.0137721      0.0800013       0.115242        4.76843        1.56932        4.95837
        1.19684    4.41341e-11      0.0365725      0.0798111       0.108753        5.35011        2.02857        4.50464
        1.18657    4.39398e-11      0.0612332      0.0691882       0.103984        6.37793        4.91889        2.47116
        1.18766     4.3692e-11      0.0612577      0.0780902      0.0888083         6.7377        5.61346        2.59752
        1.18923    4.39908e-11      0.0549628      0.0761691      0.0985494        7.18785        6.67015        2.58366
        1.18822    4.39782e-11      0.0120918      0.0899802       0.112316        7.38028        5.30298        3.07135
        1.19045    4.39073e-11      0.0192572      0.0817785       0.121558        7.19338         5.0134        2.92736
        1.18699    4.38863e-11      0.0106867      0.0799073        0.11798        6.76268        4.04462        2.22662
        1.18502    4.38868e-11      0.0130683        0.07907       0.119681        6.78511        3.92907        2.62115
        1.18651     4.3607e-11      0.0068084      0.0744825       0.121888        6.44018        2.13438        1.25024
        1.18054    4.37166e-11      0.0292975      0.0725079       0.127124        7.18288        5.31876        2.35886
        1.18606    4.39984e-11      0.0376028       0.076979       0.103791        7.37829        6.00686        2.20006
        1.18941    4.37598e-11      0.0162201      0.0813033       0.122475        7.23634        6.18207        2.67317
